Nature mutation,Valeur fonciere,Type local,Nombre pieces principales,Surface,Latitude,Longitude
Vente,165000.0,Appartement,1,19.5,48.893499,2.3615578
Vente,128000.0,Appartement,1,14.85,48.8585883,2.4012072
Vente,463000.0,Appartement,3,52.55,48.8826716,2.3802416
Vente,2354000.0,Appartement,4,174.15,48.8784475,2.2977224
Vente,134000.0,Appartement,1,13.32,48.885261799999995,2.327354999299839
Vente,390000.0,Appartement,2,33.96,48.8940306,2.3315222
Vente,411221.0,Appartement,2,40.0,48.868052,2.3850172
Vente,40000.0,Appartement,1,6.0,48.8782417,2.3395298
Vente,467000.0,Appartement,3,44.97,48.8682234,2.400601
Vente,788901.3,Appartement,4,77.78,48.868086,2.3526316
Vente,907800.0,Appartement,3,70.39,48.8887664,2.316564
Vente,305000.0,Appartement,2,35.0,48.896976,2.3238197
Vente,200000.0,Appartement,2,30.29,48.8891791,2.356252
Vente,520000.0,Appartement,2,53.05,48.8831205,2.285888
Vente,322300.0,Appartement,2,33.02,48.8956612,2.3434615
Vente,336600.0,Appartement,2,33.09,48.8942755,2.341281
Vente,331760.0,Appartement,3,30.15,48.8724553,2.3828753
Vente,259000.0,Appartement,2,26.75,48.8535854,2.4020289
Vente,340000.0,Appartement,2,41.5,48.8717737,2.403202
Vente,310000.0,Appartement,2,30.08,48.8748625,2.365483
Vente,497000.0,Appartement,3,60.63,48.8737857,2.3865167
Vente,455000.0,Appartement,3,45.53,48.8890148,2.3472155
Vente,500000.0,Appartement,1,38.81,48.8597485,2.3543473
Vente,293000.0,Appartement,2,35.94,48.8964399,2.3400878
Vente,260000.0,Appartement,1,25.48,48.8785059,2.3759187
Vente,589200.0,Appartement,3,52.54,48.8973254,2.3289797
Vente,320000.0,Appartement,2,28.34,48.8788391,2.3429485
Vente,638000.0,Appartement,2,79.95,48.8915101,2.3068184
Vente,526500.0,Appartement,2,44.46,48.8908321,2.3478224
Vente,803000.0,Appartement,3,65.44,48.8732826,2.3452319
Vente,179000.0,Appartement,1,14.42,48.8623549,2.3664618
Vente,590200.0,Appartement,3,46.0,48.8670103,2.360991
Vente,383200.0,Appartement,2,31.26,48.8848677,2.3355565
Vente,470000.0,Appartement,3,44.0,48.8736506,2.3830271
Vente,333250.0,Appartement,1,26.78,48.8772315,2.3905575
Vente,176000.0,Appartement,1,16.61,48.8519414,2.402326
Vente,510925.0,Appartement,2,35.2,48.8796685,2.3196433
Vente,510925.0,Appartement,1,8.0,48.8796685,2.3196433
Vente,630000.0,Appartement,2,76.66,48.8756899,2.3353478
Vente,784000.0,Appartement,3,156.64,48.8733159,2.3748878
Vente,186000.0,Appartement,1,18.01,48.8796397,2.3362305
Vente,254000.0,Appartement,1,31.03,48.8727496,2.3743802
Vente,250000.0,Appartement,1,18.32,48.877421,2.3446832
Vente,743000.0,Appartement,3,65.37,48.8800805,2.3624277
Vente,100000.0,Appartement,1,13.29,48.8711746,2.3519795
Vente,420000.0,Appartement,2,33.45,48.8867645,2.3465635
Vente,579200.0,Appartement,3,51.83,48.8884144,2.3198572
Vente,552000.0,Appartement,3,45.0,48.8838356,2.344782
Vente,317770.0,Appartement,2,30.0,48.894034,2.3462574
Vente,295000.0,Appartement,3,46.0,48.8854742,2.3357359
Vente,585000.0,Appartement,2,46.86,48.8842897,2.3171797
Vente,922800.0,Appartement,3,60.46,48.8874541,2.3187591
Vente,577550.0,Appartement,3,52.62,48.852456,2.4000352
Vente,310000.0,Appartement,3,35.03,48.8567221,2.3966149
Vente,554000.0,Appartement,3,63.33,48.8710827,2.3604816
Vente,554000.0,Appartement,2,50.0,48.8710827,2.3604816
Vente,585000.0,Appartement,2,49.19,48.8905429,2.3171404
Vente,275000.0,Appartement,2,34.65,48.8727072,2.395279
Vente,1330000.0,Appartement,3,100.13,48.882876,2.2924088
Vente,536800.0,Appartement,3,53.03,48.8526621,2.4003175
Vente,115000.0,Appartement,1,12.95,48.8532139,2.3986647
Vente,335000.0,Appartement,2,32.37,48.8957016,2.3480104
Vente,304000.0,Appartement,2,23.14,48.8766728,2.3484045
Vente,580000.0,Appartement,3,50.17,48.8895626,2.328309
Vente,110000.0,Appartement,1,15.25,48.877729,2.3325408
Vente,423030.0,Appartement,3,35.11,48.8872558,2.349255
Vente,703000.0,Appartement,2,58.13,48.8691398,2.3969885
Vente,260000.0,Appartement,1,24.0,48.891686,2.3728522
Vente,260000.0,Appartement,1,41.26,48.891686,2.3728522
Vente,322000.0,Appartement,3,39.27,48.8973055,2.3353581
Vente,237000.0,Appartement,1,20.53,48.8924863,2.324415
Vente,7000.0,Appartement,1,22.0,48.8734331,2.3641458
Vente,145900.0,Appartement,1,14.03,48.8690098,2.3971448
Vente,951465.0,Appartement,4,112.06,48.8787554,2.3765359
Vente,7000.0,Appartement,2,63.0,48.8787205,2.3513304
Vente,800000.0,Appartement,3,74.55,48.8759349,2.3399777
Vente,133000.0,Appartement,1,14.49,48.8910658,2.3246364
Vente,329920.0,Appartement,2,21.51,48.85197,2.3544961
Vente,330000.0,Appartement,1,27.29,48.884323,2.3775146
Vente,454900.0,Appartement,3,54.37,48.8687189,2.4060369
Vente,278000.0,Appartement,2,31.89,48.8514565,2.3998519
Vente,540000.0,Appartement,2,45.79,48.8933353,2.3332301
Vente,591550.0,Appartement,1,33.0,48.8889611,2.3535107
Vente,591550.0,Appartement,1,46.92,48.8889611,2.3535107
Vente,365000.0,Appartement,2,27.21,48.861529,2.3648758
Vente,273000.0,Appartement,2,29.48,48.8842031,2.3816945
Vente,210000.0,Appartement,1,18.16,48.8642525,2.3532
Vente,360000.0,Appartement,2,37.77,48.8789454,2.3653251
Vente,387210.0,Appartement,1,34.72,48.8808668,2.3469261
Vente,860000.0,Appartement,2,39.57,48.8524748,2.3540327
Vente,142500.0,Appartement,1,15.0,48.8934525,2.3398884
Vente,295000.0,Appartement,1,30.5,48.8702836,2.3954894
Vente,4000.0,Appartement,3,75.0,48.864932,2.3547596
Vente,620000.0,Appartement,5,85.92,48.8695458,2.3839377
Vente,234300.0,Appartement,1,25.69,48.8566508,2.3954376
Vente,188010.0,Appartement,2,20.01,48.8518802,2.4019831
Vente,390000.0,Appartement,2,44.64,48.8845637,2.3648219
Vente,110000.0,Appartement,1,9.1,48.8678783,2.3867014
Vente,810000.0,Appartement,3,61.52,48.8770798,2.3410425
Vente,344500.0,Appartement,2,31.21,48.8869309,2.3129191
Vente,312090.0,Appartement,2,31.79,48.8845964,2.3777025
Vente,300000.0,Appartement,1,26.91,48.8717737,2.403202
Vente,290000.0,Appartement,1,28.78,48.8685818,2.4083603
Vente,400000.0,Appartement,1,33.45,48.8523876,2.3659036
Vente,778200.0,Appartement,3,69.39,48.8733209,2.3527292
Vente,560125.0,Appartement,4,86.03,48.8746653,2.387361
Vente,138000.0,Appartement,1,23.0,48.8840587,2.3336456
Vente,150000.0,Appartement,1,14.65,48.876998,2.3370864
Vente,1523850.0,Appartement,5,110.09,48.8766355,2.34868
Vente,860000.0,Appartement,4,86.75,48.8494525,2.4079775
Vente,368600.0,Appartement,1,30.6,48.8694155,2.3198616
Vente,480000.0,Appartement,3,47.55,48.8684648,2.4035126
Vente,196550.0,Appartement,2,19.01,48.8744896,2.3720723
Vente,360000.0,Appartement,2,34.5,48.8716907,2.3863808
Vente,820700.0,Appartement,4,78.23,48.8844081,2.3758395
Vente,1080000.0,Appartement,3,94.15,48.8700372,2.3502558
Vente,430000.0,Appartement,2,46.64,48.8912852,2.3638068
Vente,753000.0,Appartement,3,63.78,48.8963535,2.345312
Vente,515000.0,Appartement,3,57.39,48.8865382,2.3721403
Vente,369262.0,Appartement,2,35.12,48.8567416,2.3968398
Vente,313000.0,Appartement,2,27.44,48.8931825,2.323091
Vente,460500.0,Appartement,1,41.31,48.8720444,2.3055917
Vente,298000.0,Appartement,2,27.76,48.8832585,2.3740142
Vente,280000.0,Appartement,2,36.01,48.8877052,2.3596686
Vente,290754.0,Appartement,3,64.52,48.8940972,2.3513957
Vente,520000.0,Appartement,3,48.14,48.8642359,2.3640374
Vente,455000.0,Appartement,3,39.7,48.8936824,2.3228832
Vente,135700.0,Appartement,1,15.4,48.8945575,2.3447096
Vente,1123600.0,Appartement,4,110.0,48.8634342,2.35042
Vente,428800.0,Appartement,2,46.71,48.8895535,2.3242414
Vente,532400.0,Appartement,2,29.34,48.8733143,2.3021649
Vente,380000.0,Appartement,2,33.0,48.893500450000005,2.342885428024556
Vente,860000.0,Appartement,4,166.34,48.87716,2.3371313
Vente,817000.0,Appartement,6,65.53,48.8552585,2.3598128
Vente,282000.0,Appartement,1,28.68,48.8788633,2.3330727
Vente,500000.0,Appartement,3,51.65,48.8833914,2.3735294
Vente,280000.0,Appartement,3,9.4,48.8867853,2.3231957
Vente,273600.0,Appartement,2,28.28,48.8550611,2.3971063
Vente,581000.0,Appartement,3,61.81,48.8898603,2.3817277
Vente,599900.0,Appartement,1,47.0,48.8731011,2.3813905
Vente,530000.0,Appartement,2,47.91,48.8788966,2.3367316
Vente,153600.0,Appartement,1,13.8,48.876596,2.3704485
Vente,153600.0,Appartement,1,9.0,48.876596,2.3704485
Vente,215000.0,Appartement,2,17.72,48.8727149,2.3404817
Vente,937000.0,Appartement,3,51.2,48.8690825,2.3042395
Vente,975400.0,Appartement,4,74.42,48.88074505,2.3417879370509427
Vente,305000.0,Appartement,2,39.83,48.8964176,2.3396041
Vente,655000.0,Appartement,3,73.09,48.8685818,2.4083603
Vente,1687750.0,Appartement,4,114.99,48.8675331,2.351524
Vente,321000.0,Appartement,1,28.75,48.8824549,2.2858171
Vente,410000.0,Appartement,2,35.8,48.890926,2.3476973
Vente,326000.0,Appartement,2,25.7,48.8863231,2.3225481
Vente,385000.0,Appartement,2,33.27,48.8673922,2.3583406
Vente,307750.0,Appartement,2,36.71,48.8896787,2.3592981
Vente,429000.0,Appartement,1,36.83,48.8605524,2.3618489
Vente,409600.0,Appartement,2,32.22,48.879278,2.3373861
Vente,240000.0,Appartement,2,25.91,48.8940241,2.3393621
Vente,574150.0,Appartement,3,52.28,48.8738649,2.352865
Vente,150000.0,Appartement,1,16.15,48.8877934,2.3519196
Vente,1455000.0,Appartement,2,82.08,48.869635,2.3222214
Vente,281400.0,Appartement,1,24.6,48.8816039,2.3883483
Vente,193000.0,Appartement,1,22.63,48.8927995,2.3214536
Vente,1030000.0,Appartement,4,104.68,48.8838143,2.3273344
Vente,480000.0,Appartement,3,53.8,48.8688107,2.3847168
Vente,1414450.0,Appartement,4,118.09,48.8781922,2.2969341
Vente,210000.0,Appartement,1,21.4,48.8957353,2.3476974
Vente,360500.0,Appartement,2,27.92,48.8779977,2.2855684
Vente,403000.0,Appartement,3,45.68,48.8932784,2.3199571
Vente,423050.0,Appartement,1,36.45,48.8745703,2.331895
Vente,462500.0,Appartement,4,56.4,48.8571258,2.4087247
Vente,710000.0,Appartement,3,57.0,48.8798618,2.3377452
Vente,274800.0,Appartement,2,26.6,48.8913493,2.320998
Vente,595500.0,Appartement,2,49.19,48.8950979,2.3385148
Vente,1272270.0,Appartement,4,97.78,48.8792739,2.3001549
Vente,400950.0,Appartement,2,41.55,48.8784397,2.3417971
Vente,10000.0,Appartement,1,30.0,48.8690219,2.3234004
Vente,180000.0,Appartement,1,19.17,48.8729424,2.408252
Vente,843700.0,Appartement,4,85.58,48.8863401,2.320802
Vente,665000.0,Appartement,3,56.7,48.88315,2.3246008
Vente,626800.0,Appartement,3,62.3,48.8872567,2.381208
Vente,436600.0,Appartement,1,32.87,48.852623,2.3618686
Vente,404500.0,Appartement,2,34.67,48.8551474,2.3603232
Vente,136000.0,Appartement,1,8.15,48.8619537,2.3658376
Vente,763500.0,Appartement,2,58.51,48.8838907,2.3117897
Vente,505550.0,Appartement,2,51.55,48.8815579,2.3652466
Vente,340000.0,Appartement,2,86.22,48.8832364,2.3640264
Vente,237000.0,Appartement,2,24.36,48.8789712,2.3857814
