Adresse,location,Latitude,Longitude
7 RUE DU CARDINAL MERCIER 75009 PARIS FRANCE,"7, Rue du Cardinal Mercier, Quartier Saint-Georges, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France",48.8811769,2.3295716
30 RUE DES BOIS 75019 PARIS FRANCE,"30, Rue des Bois, Quartier d'Amérique, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France",48.878217,2.3991477
62 AV CLAUDE VELLEFAUX 75010 PARIS FRANCE,"62, Avenue Claude Vellefaux, Quartier de l'Hôpital Saint-Louis, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France",48.876596,2.3704485
23 RUE BLANCHE 75009 PARIS FRANCE,"Kohinoor, 23, Rue Blanche, Quartier Saint-Georges, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France",48.8793764,2.3313489
60 RUE BLANCHE 75009 PARIS FRANCE,"60, Rue Blanche, Quartier Saint-Georges, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France",48.8807564,2.3315421
183 RUE SAINT MAUR 75010 PARIS FRANCE,"Rue Saint-Maur, Quartier de l'Hôpital Saint-Louis, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France",48.8728731,2.3710083
6 PAS DES FOURS A CHAUX 75019 PARIS FRANCE,"6, Passage des Fours à Chaux, Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France",48.8795104,2.373186
9 RUE DE LABORDE 75008 PARIS FRANCE,"9, Rue de Laborde, Quartier de l'Europe, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France",48.875738,2.322054
6 AV DE FLANDRE 75019 PARIS FRANCE,"Subway, 6, Avenue de Flandre, Quartier de la Villette, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France",48.8846137,2.369729
47 RUE DES ACACIAS 75017 PARIS FRANCE,"47, Rue des Acacias, Quartier des Ternes, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France",48.8779763,2.2934656
3 VLA STENDHAL 75020 PARIS FRANCE,"3, Villa Stendhal, Quartier du Père-Lachaise, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.8621732,2.4015681
171 BD DE LA VILLETTE 75010 PARIS FRANCE,"Boulevard de la Villette, Quartier Saint-Vincent-de-Paul, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France",48.884084,2.3667056
6 RUE DE BEAUCE 75003 PARIS FRANCE,"6, Rue de Beauce, Quartier des Enfants-Rouges, Paris 3e Arrondissement, Paris, Île-de-France, France métropolitaine, 75003, France",48.8626049,2.3609259
19 RUE PONCELET 75017 PARIS FRANCE,"19, Rue Poncelet, Quartier des Ternes, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France",48.879241,2.2971861
53 BD DE LA VILLETTE 75010 PARIS FRANCE,"Boulevard de la Villette, Quartier Saint-Vincent-de-Paul, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France",48.884084,2.3667056
46 RUE DES ABBESSES 75018 PARIS FRANCE,"46, Rue des Abbesses, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8854596,2.3362224
41 RUE DE LA REUNION 75020 PARIS FRANCE,"41, Rue de la Réunion, Quartier de Charonne, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.8546917,2.4018859
36 RUE DE MOSCOU 75008 PARIS FRANCE,"36, Rue de Moscou, Quartier de l'Europe, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France",48.8814445,2.3233392
72 RUE DUHESME 75018 PARIS FRANCE,"72, Rue Duhesme, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8938191,2.3434444
22 RUE LEMERCIER 75017 PARIS FRANCE,"22, Rue Lemercier, Quartier des Batignolles, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France",48.8862232,2.3242216
7 RUE JOSEPH DIJON 75018 PARIS FRANCE,"Doa prêt a porter, 7, Rue Joseph Dijon, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.893837,2.3469404
12 RUE FAUVET 75018 PARIS FRANCE,"12, Rue Fauvet, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8892267,2.3271373
161 RUE MARCADET 75018 PARIS FRANCE,"161, Rue Marcadet, Quartier de la Goutte-d'Or, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8913284,2.3374586
33 RUE DE CHAZELLES 75017 PARIS FRANCE,"33, Rue de Chazelles, Quartier de la Plaine-de-Monceau, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France",48.8805485,2.3053638
25 RUE ST VINCENT DE PAUL 75010 PARIS FRANCE,"25, Rue Saint-Vincent de Paul, Quartier Saint-Vincent-de-Paul, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France",48.8817265,2.3525982
46 RUE DE LANCRY 75010 PARIS FRANCE,"46, Rue de Lancry, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France",48.8717915,2.3624865
1 RUE CIVIALE 75010 PARIS FRANCE,"1, Rue Civiale, Quartier de l'Hôpital Saint-Louis, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France",48.8724698,2.3760811
40 RUE DE LA JUSTICE 75020 PARIS FRANCE,"40, Rue de la Justice, Quartier Saint-Fargeau, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France",48.868753,2.4081184
106 RUE JOUFFROY D'ABBANS 75017 PARIS FRANCE,"106, Rue Jouffroy d'Abbans, Quartier des Batignolles, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France",48.8824408,2.3020692
16 RUE LUCIEN SAMPAIX 75010 PARIS FRANCE,"16, Rue Lucien Sampaix, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France",48.8719431,2.3607522
101 RUE DU FBG SAINT DENIS 75010 PARIS FRANCE,,,
49 RUE PAJOL 75018 PARIS FRANCE,"49, Rue Pajol, Quartier de la Chapelle, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France",48.8891802,2.362472
7 RUE DU MAIL 75002 PARIS FRANCE,"7, Rue du Mail, Quartier du Mail, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75002, France",48.8665613,2.3418188
40 RUE D HAUTPOUL 75019 PARIS FRANCE,"40, Rue d'Hautpoul, Quartier d'Amérique, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France",48.8835807,2.3878592
